citation,year,research_question,location,time_period,data_source,sample,sample_size,method,identification,explanatory,explanatory_measure,outcome_measure,controls,key_results,limitations,theme,field,related_articles,comments
"Jayachandran, S. (2009). Air quality and early-life mortality: Evidence from Indonesia’s wildfires. Journal of Human Resources, 44(4):916–954.",2009,"What impact did Indonesia's 1997 forest fires have on fetal, infant, and child mortality before age 3?",Indonesia (forest-fire smoke impacted areas),December 1996-May 1998,"Early-life mortality statistics: Given the lack of direct mortality records available, the author was forced to estimate ""early-life mortality"" numbers, or death before age 3, using the 2000 Indonesian population census data. They calculated the number of inferred ""missing children"" (infants and children who died, as a result of pollution exposure in utero or early in life) by comparing post forest fires population numbers with those from before the fire (p. 921).; Food consumption data (socioeconomic): National Socioeconomic Survey, an annual household survey.; Healthcare data: 1996 ""Village Potential Statistics"", a census of community characteristics including available healthcare, and cooking fuel used in homes.; Fire data: Satellite monitoring of the extent of the wildfires.",,"n=66,000 localities (smaller than a subdistrict).",The author utilizes satellite data of exposure to smoke pollution (particulate matter and other types) caused by the forest fires to estimate its impact on early-life mortality for a cohort of children born just before and after the fires.,Natural experiment?,O3; aerosol,"Satellite ozone monitoring: ""Daily aerosol measures"" (constructed from observations from over 3 days) from points located ~175km apart. Author calculated daily ozone measures for studied subdistricts taking ozone observation points located within 100km of the center of each subdistrict and weighting them according to each's distance from the subdistrict center.; In total, 226 unique ozone pollution grid points were used to measure 3700 subdistricts.","fetal, infant, and child mortality","Precipitation, fire intensity, mother's education, urban or rural location, month fixed effects, subdistrict fixed effects.","1) During the 1997 fires, in hard-hit areas, PM10 pollution levels reached 1000 mg/m3 on several days, and exceeded 150 mg/m3 for long periods. The EPA PM10 standard is 150 mg/m3 as a 24-hour average, to be exceeded only once annually. 2) The 1997 wildfires led to an estimated 15,600 early-life deaths, or a 1.2% decline in birth population. 3) Pre-natal exposure to pollution had a smaller effect on mortality rates in higher income areas, though the experiment cannot decisively explain why. After controlling for many variables, some explanatory theories are that poorer people; have less access to medical care, have worse health, cook with wood-fired stoves and are were thus doubly exposed to smoke pollution.","Author's use of inferred levels for ""missing children"" is both unique and also leaves the potential for misestimation. Though the author believes that she successfully controlled for potentially confounding variables, there is still room for error. With that said, it is possible that her early-life mortality estimation would still be more accurate than official records, if they were to exist, given the limitations of accurate record-keeping in developing countries.",Impact on child/infant health,Public health; economics; science,Chay and Greenstone (2003); Currie and Neidell (2005),"Author's use of census data to infer ""missing children"" is creative and one I have not seen in other studies. There is potential for error in the author's estimation (p. 922-923), though she addresses each and believes that they did not influence her findings.; The author also utilizes multiple proxies for variables that were difficult or not feasible to measure. For example, food consumption as a proxy for income level (p. 939). / This is one of the few natural experiments. Unique methodology too."
"Morales, Eva, Jordi Julvez, Maties Torrent, Rafael de Cid, Mònica Guxens, Mariona Bustamante, Nino Künzli, and Jordi Sunyer. 2009. “Association of Early-Life Exposure to Household Gas Appliances and Indoor Nitrogen Dioxide With Cognition and Attention Behavior in Preschoolers.” American Journal of Epidemiology 169 (11): 1327–36. https://doi.org/10.1093/aje/kwp067.",2009,What is the effect of early-life exposure to household gas appliances and indoor nitrogen dioxide on cognitive functioning and inattention and hyperactivity symptoms in preschoolers?,"Menorca, Spain",1997-1999,,"Data: children, information on their neurodevelopmental assessment, gas appliances at home, and indoor NO2 concentrations for the first 3 months of the child's life. Also, DNA samples were taken to identify a child's genetic type of ""glutathione S-transferase P1"" gene (GSTP1). Certain types of GSTP1 are involved in antioxidant defenses to protect against oxidative stress. NO2 is an oxidative stressor and thus the authors theorized that the possession of protectant GSTP1 could reduce the impacts of NO2 exposure on applicable children.",n=398,Multivariate linear regression models were used to examine the association between gas appliances or indoor NO2 concentration and cognitive and behavioral outcomes at age 4 years.,Panel,NO2; dust,"Measures collected in each family's home during the first 3 months of the child's life: dust samples, average 2-week indoor NO2 concentrations, a questionnaire on household characteristics (cooking appliances, heating, and cooling systems, number of hours of ventilation, and size of the house).",cognitive functioning score and observed attention/hyperactivity behaviors,"Maternal and paternal: years of education, social class, tobacco smoking habits.; Maternal: marital status, medical history, parity, dietary intake during pregnancy, alcohol consumption during pregnancy, type and duration of breastfeeding.; Child: Anthropometric measures at birth, gestational age, child’s sex.","1) Children with exposure to gas appliances in their homes were at higher risk of inattention, but not hyperactivity. 2) ""Adverse effects of exposure... were found in children with any GSTP1 Val-105 allele but not in children with the Ile/Ile genotype"" (p. 1331). ""Exposure to gas appliances was associated with a decrease of 9.72... points in the general cognitive score and with an increased risk of inattention for children with any GSTP1 Val-105 allele"" (p. 1332). 3) ""Children with the less active GSTP1 Val-105 variant, brain cells are more susceptible to biochemical changes induced by early-life exposure to nitrogen dioxide"" (p. 1333).","1) Compared to nonparticipants, participants had higher general cognitive scores and were of a higher social class. Therefore, it is possible that the results could be skewed. If so, I would assume that the results would underestimate the impacts of indoor pollution as higher class families generally have better access to medical care and nutrition, reducing negative impacts of pollution exposure. 2) The study sample size is quite small and thus its findings may not be generally representative.",Impact on child cognition,Public health; economics; science,,"This is a unique study in that it is evaluating the health risks associated with pollution from technology that is presumed to be the cleaner option, as compared to wood-burning stoves and heating. As such, gas appliances are more common in the developed world. / This is a unique study in that it focuses on the impacts of gas appliances, which are considered to be ""clean""."
"Muindi, Kanyiva. 2017. “Air Pollution in Nairobi Slums Sources, Levels and Lay Perceptions.” Umeå: Umeå University.",2017,To assess indoor sources and levels of air pollution in slum households and gather data about perceptions of the risks of air pollution.,"Two slum communities, Korogocho and Viwandani, near Nairobi, Kenya","Air pollution monitoring (2014), FGDs (2012-2013)","Quantitative study: Data from a Nairobi health and demographic longitudinal survey, and others, included socio-demographic information on all residents, migration information, household wealth, pregnancies, births, and deaths.; Focus Groups: Focus groups were convened to learn about individual and community views regarding indoor and outdoor air pollution. Topics included perceptions of sources of air pollution, views and attitudes on individual and government responsibility for addressing air quality issues, and discussion of health impacts of air pollution.",,,"Group data was collected in focus group discussions (FGDs). FGDs were divided by age (18-29 and 30+), but were mixed sex, conducted in a variety of local languages and were multi-ethnic with participants from different villages.; Already existent long-term surveys, as described above, were used to gather data on air pollution trends in households.",Panel,PM2.5; dust,"Quantitative study: Study installed ""DustTrack II"" monitors nearby a sub-sample of households to measure 24-hour levels of PM2.5. Samples were taken over the course of 3 days, totaling 24 hours in each location. Sensors were placed nearby homes as it was assumed that the PM2.5 levels would be the same both inside and out of homes, given its high penetration level.",,,"1) Indoor PM2.5 levels varied widely, ranging from 1 to 12,369 μg/m3 (SD=287.11). 2) Only 14% of homes had mean PM2.5 levels less than or equal to WHO 24-hour level standard (25 μg/m3) 3) 19% of homes exceeded the WHO level by 4x 4) Houses using wood, charcoal, and kerosene had the highest PM2.5 levels. Cooking gas and electricity had the lowest. Poor ventilation exacerbated levels in all cases. 5) Findings from the FGDs: People were generally aware of the sources of air pollution, but perceived indoor air to be cleaner than outdoor air. People were correctly identified respiratory and other illnesses caused by pollution but also misattributed vector-borne illnesses to air pollution. Air pollution is given scant media coverage or community discussion. People felt that the government is not responsible for reducing indoor air pollution but noted that any attempts by community members to voice concern to the government regarding nearby health issues were met with threats of eviction. People agreed that further education would help others adapt their problematic indoor pollution habits.","1) Air pollution sensors were placed outside of conveniently sampled households and were not placed inside the homes. Authors still believed that their data was representative of pollution levels. 2) Humidity, precipitation, and temperature were not taken into account, potentially influencing data. 3) Focus groups conducted were mixed-sex. Given gender roles, it is possible that women may have been less willing to speak freely.",Impact on general health,Public health; science,,"1) This is an 82-page thesis. As such, there is much more information not included in this brief summary. 2) Document contains significant background information about air pollution, demographic trends, and more, in Kenya. 3) It is one of few studies measuring the perception of risks posed by air pollution in Kenya and wider Africa. 4) Air monitors used were found to overestimate PM2.5 levels and therefore a correction measure was necessary to correct (p. 22). / In depth paper. Provides much background on the topic of air pollution in Kenya. Also provides information about setting up cheap air sensors. / Identification: panel, plus a qualitative survey."
"Muller, Nicholas Z., and Paul A. Ruud. 2018. “What Forces Dictate the Design of Pollution Monitoring Networks?” Environmental Modeling & Assessment 23 (1): 1–14. https://doi.org/10.1007/s10666-017-9553-7.",2018,How do measured levels of ozone during one period impact the subsequent decisions to add or remove pollution monitors?,United States,1993-2011,"Data: Ozone readings from the US EPA's Aeromatic Information Retrieval System (AIRS). The 1993 data comes from ~900 monitors. By 2011 there were ~1200 monitors nationwide. The dataset also includes: ""reasons for missing observations from specific monitors, ownership or management of monitors, land use, and starting and ending date of service.""",,,"Authors compared O3 monitor data and data about removal and addition of new monitors between different periods of measurement. They use this data to determine the associations between monitored pollution levels (i.e. monitor location), the agency that controls the monitor, other influencing variables, and the likelihood of monitors being added or removed in the coming period.",?,O3,"Hourly measures of O3 pollution from individual monitors.; Average O3 reading across all sites: 33.5 ppb with a SD of 7.64. The Average maximum hourly reading: 103.1 ppb with a SD of 22.6.; Monitors operated by: state regulatory agencies, 66.7%; county agencies, 11%; private firms, 1%; US EPA, <1%. Remaining ~20%, not stated.",,"County-level attainment status with O3 and PM2.5 NAAQS; dummy variable if the monitor was partially out of attainment in the prior period (unity) or entire county was out of attainment (2); ownership of the monitors by federal, state, county or private firm; dummy variable for regulatory changes to the NAAQS in 1997 and 2006; spatial fixed effects.","1) Monitor counts are greater in areas with high average maximum O3 readings. The ""Average maximum reading [from a monitor]... is associated with an increase in the probability of about 0.04% of a new monitor being located in that county"" (p. 9). 2) Regulators are less likely to drop existing monitors for which prior maximum readings are high. Similarly, regulators are more likely to add new monitors to counties for which prior maximum pollution levels are relatively high. 3) ""Counties with a higher share of monitors operated by county regulators are 5.5% more likely to add an additional monitor than other counties with monitors run by other local regulators"" (p. 9). 4) Counties that had dropped a monitor from their network in the prior period were 12% more likely to add another monitor in the subsequent period than counties who had not dropped a monitor. 5) States out of attainment in the prior period, and were managed by federal regulators, were 0.11% more likely to add a new monitor in the following period. The evidence of such a correlation is inconclusive for states that are self-regulating.","This study only evaluates ozone monitors. Ozone is a pollutant that enjoys a relatively high level of notoriety, given the prevalence of smog/ozone warning days in many populated areas. Given this, it is possible that ozone monitoring is treated differently than that of other pollutants and that the trends identified with regards to ozone monitors may not be true of all pollution monitors.",Monitor placement,Public health; economics; science,Grainger et al. (2017),"This study appears to present opposite findings from Grainger et al. (2017), despite that they are the only two articles of their kind, as of 2018. It is worth noting that their methodologies are different in that Grainger et al. use satellite data to compare to ground monitored sensors. / This article is one of only two dealing with monitor placement decisions."
"Neidell, Matthew J. 2004. “Air Pollution, Health, and Socio-Economic Status: The Effect of Outdoor Air Quality on Childhood Asthma.” Journal of Health Economics 23 (6): 1209–36. https://doi.org/10.1016/j.jhealeco.2004.05.002.",2004,Is there a link between air pollution and child asthma? How do geography and individual choices impact this?,California,1992-1998,"Data: Zip-code level records of individual children's (ages 1-18) asthma-related hospitalizations in California, between 1992-1998.",,"800,000 records per year, on average.",The author links monthly pollution sensor data with the corresponding month of hospital discharge records for children whose zip code centroid was within 20 miles of a sensor.,Panel,PM10; NO2; O3; CO,"Monthly atmospheric pollution levels from EPA monitoring stations in California. Pollutants measured: PM10, O3, NO2, and CO.",Hospitalizations due to asthma,"Individual pollution avoidance behavior, socioeconomic factors, local geography, and seasons.","1) Increased CO exposure leads to a spike in asthma-related hospitalizations for children, though the same association was not identified for infants. 2) The impact of pollution on childhood asthma can be mitigated through avoidance behavior, such as heeding smog warnings (decreased hospitalizations by 1%), and exacerbated by low socioeconomic level forcing families to live in polluted areas. These behavioral factors make an accurate calculation of the impact of pollution difficult to gauge. 3) Pollution declined during the study period (1992-1998), leading to a 5-14% reduction in asthma. This saved approximately $5.2 million in hospital expenses, in 1998 alone, though the full social benefit is likely much higher.","1) Given that many of the pollutants originate from similar sources, it is difficult to separate them and subsequently identify which specific pollutants are the most detrimental to health. NO2, CO, and PM10 are correlated. O3 is separate. 2) The study utilized monthly pollution records, as opposed to weekly or daily records. As such, more specific asthma trends are likely missed. 3) The author measured pollution levels within 20 miles of the center of each zip code. This distance is further than other comparable studies (though he tested the data ran using smaller distances and found that it did not significantly impact his findings).",Impact on child/infant health,Public health; economics,Currie and Hyson (1999); Chay and Greenstone (2003),This is one of the few scientific articles that is solo authored.
"Neidell, Matthew. 2009. “Information, Avoidance Behavior, and Health: The Effect of Ozone on Asthma Hospitalizations.” Journal of Human Resources 44 (2): 450–78. https://doi.org/10.3368/jhr.44.2.450.",2009,Do behavioral responses to health risk information influence estimates of the relationship between ozone and asthma hospitalizations in Southern California?; (i.e. Do smog alerts change people's decisions to go outside and does this reduce the rate of hospitalizations?),Los Angeles,1989-1997,"Attendance information for major outdoor attractions in Los Angeles: Daily records for the LA Zoo and Griffith Park Observatory, for 1989-1997. Note: The Zoo charged varying admission fees, so Zoo attendance records also offer a breakdown of heterogeneity of responses by varying demographic groups.; Health Data: Records for all people discharged from a hospital in California. Records included: date of admission, age, gender, patients’ residential ZIP code, principal diagnosis.",,,"The author compared daily attendance records for outdoor attractions with the days for which smog warnings were issued in order to determine whether people respond to pollution warnings (avoidance behavior). Then he examined the impact of ozone on asthma-related hospitalizations. He theorized that if people respond to ozone/smog warnings, and this is not incorporated into calculations for the impacts of ozone, there is likely to be underestimation with regards to the health impacts of ozone.",Panel,NO2; CO; O3,"1989-1997 in Los Angeles: 1) Ozone level predictions (from the LA Times). 2) Smog alerts issued (date, but not exact location). 3) Daily levels of ozone, CO, NO2 for the different monitoring areas of the city.; Note: The author also assessed the accuracy of the ozone alerts issued by comparing them to observed actual ozone levels. He found that smog alerts were accurately issued less than 20% of the time.",Attendance changes; number of hospital admissions for asthma,"Weather (humidity, sun cover, wind speed), other outdoor pollutants (CO and NO2), day of the week dummy variables.","1) Smog alerts correspond with a 6-13% drop in attendance for outdoor activities, depending on the model. 2) For children, smog alert avoidance behavior plays a significant role in limiting asthma-related hospitalizations. As such, estimates ignoring avoidance behavior's health benefits will lead to underestimates of ozone's impacts on children. 3) For adult health, smog alert avoidance behavior does not bias estimates.",The author notes that: Southern California has a unique history of smog and ozone and as such the findings may not necessarily be generally applicable to other contexts (see p. 459).,Impact on general health,Public health; economics,Chay and Greenstone (2003); Currie and Neidell (2005),"The author's use of multiple air pollution data sets within the same region but with different geographic boundaries was dependent on his merging of the different data sets. His technique may prove applicable in future projects if faced with a similar situation. / Neidell's methods for working with multiple data sets, with different subdivisions, for the same geographic area, may be applicable to studies in developing countries with limited data sets."
"Newman, Nicholas C., Patrick Ryan, Grace LeMasters, Linda Levin, David Bernstein, Gurjit K. Khurana Hershey, James E. Lockey, et al. 2013. “Traffic-Related Air Pollution Exposure in the First Year of Life and Behavioral Scores at 7 Years of Age.” Environmental Health Perspectives 121 (6): 731–36. https://doi.org/10.1289/ehp.1205555.",2013,What is the association between traffic pollution exposure and incidence of behavioral issues and ADHD at age 7?,"Cincinnati, Ohio",Children born 2001-2003,"Health data: Annual check-up medical records from ages 1-4 and age 7; information about where children spent 8+ hours/week each year.; Behavioral data: Parent questionnaire about each child's behavior at age 7, called the BASC-2. The test is ""designed to assess a child’s adaptive and problematic behaviors in both the community and home settings.""",Data derived from the Cincinnati Childhood Allergy and Air Pollution Study (CCAAPS). Parents were eligible to enroll their infants in the study if the parents had allergies (n=762). Only children with complete data sets were part of the authors' analysis (n=576). Health and location data were gathered for each child from a young age. All children participating either lived near (<400m) or far (>1500m) from a major road.,(n=762); (n=576),Compare each child's BASC-2 score at age 7 with their average daily ECAT exposure level over the first year of life to determine if there is an association with ADHD and other behavioral issues.,Panel,ECAT,"Traffic-related air pollution (TRAP) was measured. The pollutant measured was elemental carbon attributed to traffic (ECAT), which functions as an indicator of diesel exhaust.; 27 sampling sites in greater Cincinnati were monitored from 2001-2006 for average daily ECAT levels.",Presence of behavioral issues and/or ADHD at age 7,"Parental information: demographic information, education, income, insurance status, medicaid status.; Child information: Environmental tobacco smoke exposure, presence of lead in homes, duration breastfeeding, childcare attendance during the first year of life, time spent being care for by non-parental adults (ex. babysitter).","1) Scores indicating that children were at risk for hyperactivity and behavioral issues were significantly associated with high as compared to low ECAT exposure (≥ 0.4 vs. < 0.4 μg/m3) based on unadjusted logistic models. 2) After adjustment, the high ECAT exposure level was significantly associated only with an ""at risk"" score for hyperactivity (""adjusted odds ratio (aOR) = 1.7; 95% CI: 1.0, 2.7"" (p. 734)). 3) Higher ECAT exposure was associated with a 70% increase in the likelihood of a high hyperactivity test score only for children whose mothers had more than a high school education.","1) The cohort of children are not medically representative of the general population; they all have parents who have allergies. However, the authors do not believe that this influenced the findings, as the incidence of ADHD identified was similar to that of the general population. 2) There was no parental behavioral medical history available to the authors. ADHD has been found to run in families. The lack of ability to evaluate maternal and paternal incidence of ADHD, or other behavioral issues, could thus potentially alter the reliability of the findings. 3) The use of ECAT as a pollution metric is different than most other comparable studies (which often directly use PM2.5, PM10, etc.). This may make it harder to compare and contrast.",Impact on child/infant health,Public health; science,Calderón-Garcidueñas et al. (2008),"The paper also lists a number of other studies associating pollution with cognitive issues:; -""Calderón-Garcidueñas et al. (2008) reported an association between exposure to high levels of ambient air pollution and histological changes in the brain consistent with neuroinflammation.""; -""Exposure to black carbon (a marker of TRAP and diesel exhaust) was associated with decreased cognitive scores for verbal and nonverbal intelligence and in memory at 8–11 years of age... (Suglia et al. 2008).""; -Exposure to traffic-related air pollution (NO2 and PM10) ""was associated with poor performance in Visual Simple Reaction Time... Continuous Performance, Digit Symbol, Pursuit Aiming, and Sign Register..."" for children ages 8-9 (Wang et al. 2009). / This is the first study I have come across linking early-life pollution exposure to behavioral issues."
"Quagraine, V., and N. Boschi. 2008. “Behavioral Changes Can Help Prevent Indoor Air-Related Illnesses in Ghana.” Building and Environment 43 (3): 355–61. https://doi.org/10.1016/j.buildenv.2006.05.010.",2008,Discussing the causes of indoor pollution in Ghana and the methods for implementing education to improve avoidance behavior.,Ghana,Early 2000's,,,,"Surveys the pollution issues associated with two types of Ghanaian housing, traditional huts and more urban, concrete-block style housing.",,PM; NOx; NO; O3; SO2; CO2; CO,"Pollutants: NO/NOx, O3, SO2, CO, PM, and CO2.; The only specific measurements given were, ""The emission level of the five pollutants for 1995, 1999 and 2003 were 3 million, 7 million and 17 million tones, respectively"" (p. 357).",Infant mortality and respiratory issues,,"Summary: For rural residents, slash-and-burn farming and indoor combustion of fuel and biomass for cooking and lighting are majors source of CO, NO, and PM air pollution. Indoor air pollution caused by charcoal and wood burning and is exacerbated by overcrowding in dwellings.; For urban residents, unpaved roads and traffic are large sources of outdoor air pollution. The harmattan (a seasonal dry wind that blows from the Sahara Desert) amplifies the outdoor pollution conditions due to its dryness.; Accurate knowledge about the causes of respiratory conditions is low in the country.; Recommendations: To educate people about the dangers of indoor air pollution there will need to be educational programs that emphasize behavioral changes. The programs must be designed with Ghana-centric societal values and issues in mind. Successful education programs will free up money currently spent treating avoidable diseases to be used for other development efforts.","The authors makes many generalized statements regarding air pollution in Ghana. There is no new research conducted for this paper.; Despite making recommendations, the authors give little in the way of concrete suggestions.",Impact on general health,Public health; economics,,"Though there is no new research conducted for this paper, it serves as a relevant piece describing common air pollution sources, responses, and related levels of awareness. It also recommends a program of culturally customized and appropriate education as necessary if there is to be any public health program to tackle these issues in Ghana. The authors' findings are likely applicable to other developing countries, especially in sub-Saharan Africa. / Lacks new research."
"Ranft, Ulrich, Tamara Schikowski, Dorothee Sugiri, Jean Krutmann, and Ursula Krämer. 2009. “Long-Term Exposure to Traffic-Related Particulate Matter Impairs Cognitive Function in the Elderly.” Environmental Research 109 (8): 1004–11. https://doi.org/10.1016/j.envres.2009.08.003.",2009,What is the association between exposure to fine PM and mild cognitive impairment (MCI)? MCI is associated with a high risk of progression to Alzheimer's disease.,"Germany, Ruhr District, both urban and rural",1980-2006,,"Subject Group: 399 women, aged 68-79, who have lived at the same address for >20 years. Women had already been a part of an opt-in, long-term, ongoing study.",399 women,Selected women underwent a testing for MCI. Pollution level data was aggregated for their residence and nearby roads to determine level of exposure. Data was analyzed to identify any associations between PM exposure and incidence of MCI.,Panel,PM2.5; PM10; NO2,"Distance to nearby road pollution (roads with >10,000 cars/day). Automobile combustion emits PM2.5, PM10, and NO2.",Validated neuropsychological test battery CERAD-Plus; this tests a variety of areas to determine if subject had MCI. Also used the Stroop color-word test and a smell test.,"Education, smoking status, education level, health, BMI, distance from roads.","1) For women aged <75 years, distance from traffic impacted risk of MCI: CERAD-Plus test scores were reduced by 2.8 points (~1/3 of the sample standard deviation). 2) Living closer to a busy street decreased CERAD-Plus scores overall and also Stroop test color-word test, but not the smell test. 3) The impact of living close to a busy street was pronounced both in rural and urban settings. 4) Other findings were less conclusive likely because of the small and self-selecting sample size, as well as a lack of more-specific pollution exposure measures (p. 1008-9).","1) Study only tests women, as the men were more likely to have worked in industries like mining or steel work, thereby exposing themselves to higher levels of pollutants. 2) Relatively small sample size (n=399), especially when the sample population is divided into subgroups by age, education level, and proximity to roads. Also, the women opted into participation. There were many women who never responded to a request to join the survey, for unknown, but potentially relevant reasons.",Impact on elderly health/cognitive functioning,Public health; science,Calderón-Garcidueñas et al. (2008),"1) Study contains good graphs showing the decline in level of pollutants as distance increases, for relatively short distances (p. 1009) / One of the few medical-focused papers"
"Rosales-Rueda, Maria, and Margaret Triyana. 2018. “The Persistent Effects of Early-Life Exposure to Air Pollution: Evidence from the Indonesian Forest Fires.” Journal of Human Resources, April, 0117-8497R1. https://doi.org/10.3368/jhr.54.4.0117.8497R1.",2018,What are the effects of early-life exposure to air pollution on children’s long-term human capital outcomes?,"Sumatra and Kalimantan, Indonesia (forest-fire smoke impacted areas)",August-November 1997,"Children and family data: Derived from the Indonesian Family Life Survey (IFLS) from 1993, 1997, 2000,  2007, and 2014.","Parents: age, education, marital status, employment, pregnancy history for women between the ages of 15 and 49, household size, expenditures, and asset ownership.; Children (born 1995-2000): height, weight, blood pressure, lung capacity, and cognitive measures.",,Compare the changes in health characteristics of children between each of the survey years with corresponding fire pollution exposure data to identify short and long-term associations between health and forest fire-induced pollution. Authors differentiate between different levels of exposure and age when exposed.,Natural experiment; Panel,TSP; O3; aerosol,"Satellite ozone monitoring from NASA’s Total Ozone Mapping Spectrometer (TOMS):; Daily total suspended particles (TSP) measures (particles <100 μg/m3) were derived from daily aerosol index measures. TOMS measures daily aerosol in one degree latitude and 1.25 degree longitude grids. Adjacent grid points are approximately 175 kilometers apart. Aerosol index of 1.5=500 μg/m3 TSP.; The authors used monthly average of the aerosol index for each grid and match these grids to the nearest IFLS district centroid.; The fires produced pollution that ranged between 150-4000 μg/m3, (comparable to levels of chronic exposure to indoor biomass fuel use).","Children's height (proxy for health status), lung function, and cognitive functioning: immediately, at 3 years, 10 years, and 17 years.","Baby's gender, mother’s age at delivery, mother's education level, urban residence, household size, household per capita expenditure, year and month of birth fixed effects, and district of birth fixed effects.","Short Term (3 years post-exposure): 1) Children exposed to the fires in-utero and the first two years of life have shorter heights on average by 0.3 standard deviations as compared to unexposed children. This is not believed to be a long-term outcome.; Medium Term (10 Years post-exposure): 2) Children exposed to the fires in-utero and the first two years of life have lower lung capacity, by 5-6%, up to 10 years after the fires. 3) ""Children exposed to the fires in-utero are on average 0.1 standard deviations (1.6 centimeters) shorter than children who were not exposed..."" Children exposed to the fires in the first two years of life are also shorter, but the magnitude is not statistically significant. ""These results indicate that children’s physical development was affected 3 years after exposure in-utero, and the effect on height persists 10 years after exposure"" (p. 16).; Long Term (17 years post-exposure): 4) ""As adolescents, children exposed to the fires in-utero are likely to be 0.2 standard deviations (1.5 centimeters) shorter"" (p. 17). 5) No statistically significant effect on long-term respiratory function was identified. 6) No statistically significant effect on medium or long-term cognitive functioning was identified. 7) ""The effect of lower height on earnings translates to USD 1.4 billion lower GDP (0.15 percent of GDP) annually. The initial cost of the fires is about 2 percent of GDP, and the long-term effect is 7.5 percent of the initial loss annually"" (p. 25).","1) PM2.5 was not tracked separately in this experiment, rendering its direct impacts impossible to measure. 2) Study only includes children who survived the fires and associated pollution. This is not a representative sample given that Jayachandran (2009) found that the fires led to a 1.2% reduction in birth cohort. The authors posit that this means that their experiment could, therefore, be understood as the lower bound of pollution impacts (meaning that the upper bound would be death).",Impact on child/infant health and Impact on cognition,Public health; economics; science,Jayachandran (2009); Bharadwaj et al. (2017); Chay and Greenstone (2003),This study is complementary to Jayachandran (2009): This paper studies the long-term health effects of the Indonesian forest fires while Jayachandran studies the short-term health effects.
"Schwartz, J., and L. M. Neas. 2000. “Fine Particles Are More Strongly Associated than Coarse Particles with Acute Respiratory Health Effects in Schoolchildren.” Epidemiology (Cambridge, Mass.) 11 (1): 6–10.",2000,How do fine and coarse particles affect human health differently? Can we revisit earlier study methodology with a broader dataset in order to test this hypothesis?,"Harvard Six City Study: 6 Midwestern cities (date not listed, strangely); Uniontown and State College, PA Diary Study: Uniontown, June-August 1990; State College, June-August 1991",,,"Harvard Six City Diary study (6 City study): Studied respiratory impacts on children, grades 2-5, n=1844, from 6 different US midwest cities. Parents submitted a daily report on their child's respiratory symptoms. Children kept daily diaries of respiratory symptoms.; Uniontown and State College Diary Study (PA Study): Studied impact on peak expiratory flow (breath) measure for children, grades 4-5, n=83 from Uniontown, PA and n=108 from State College, PA. Children recorded unsupervised expiration measurements in the morning and night for ~2 months.",n=1844; n=83; n=108,Authors reanalyzed 3 pre-existing studies of the impacts of PM10 on children. They utilize both PM2.5 and PM10 data from the locations studied to determine how to attribute negative health impacts.,Panel,PM2.5; PM10; PM2.1; PM; aerosol,"Harvard Six City Study: Daily monitor measurements from each community, both PM 2.5 and PM10. Also measured sulfate and nephelometry (<1 micrometer in diameter). The previous study measured PM10, acid aerosols, and gaseous pollutants.; Uniontown and State College Study: Daily monitor measurements from each community, both PM 2.1 and PM10. Also measured sulfate. The previous study measured: PM2.1, acid aerosols, and gaseous pollutants.",Respiratory health issues (6 City Study) and expiration level ability (PA Study),"6 City Study: dummy variables for city, day of the week, and linear and quadratic temperature terms.; PA Study: binary indicator of morning or evening reporting period, 12-hour average daytime temperature, and second-order autocorrelation.","1) In both studies fine PM measures were more strongly associated with asthma-related bodily responses than coarse PM. 2) ""An interquartile range increment in fine sulfate particles was associated with a larger change in both outcomes than was an interquartile range increment in total PM2.5 mass"" (p. 8). 3) A cough without other symptoms was the only response in which coarse particles contributed to an identified adverse health impact. 4) PM from combustion (usually fine PM) contain higher concentrations of sulfates, nitrates, organic compounds and ""bioavailable"" transition metals than coarse particles. The transition metals contribute to the toxicity of the particles.","In all of the studies the health data was self-reported, leading to concerns about accuracy. Inaccurate data could lead to skewed findings, depending on the level of consistency in health surveys and expiration measures.",Impact on general health,Public health; science,,"While this study provides new research, it is doing so by recreating prior studies with different variables measured.; PM10 is often naturally occurring (dust). PM2.5 is generally the product of combustion (fire, or fossil fuel). / This paper replicates 3 previous studies, but with additional data."
